low. bound|up. bound|par |imet| HRU numbers 
   0.00000   1.00000    1    1 2001  Alpha_Bf
   0.00000    150.00   54    1 2001     Ch_K2
   0.00000   1.00000   51    1 2001     Ch_N2
 -25.00000  25.00000   10    3 2001       Cn2
   0.00000   1.00000   28    1 2001      Epco
   0.00000   1.00000   27    1 2001      Esco
 -10.00000  10.00000    2    2 2001  Gw_Delay
  -0.03600   0.03600    3    2 2001  Gw_Revap
  -1000.00   1000.00    6    2 2001     Gwqmn
   -100.00    100.00    5    2 2001   Revapmn
   0.00000   5.00000   36    1    0     Sftmp
 -25.00000  25.00000   23    3 2001     Slope
 -25.00000  25.00000   24    3 2001  Slsubbsn
   0.00000  10.00000   35    1    0     Smfmn
   0.00000  10.00000   34    1    0     Smfmx
 -25.00000  25.00000   37    3    0     Smtmp
 -25.00000  25.00000   17    3 2001   Sol_Awc
 -25.00000  25.00000   15    3 2001     Sol_K
   0.00000  10.00000   33    1    0    Surlag
   0.00000   1.00000   38    1    0      Timp
   0.00000  50.00000   52    1 2001     Tlaps
